lag_bins,acf,white_noise_95_band,acf_physically_relevant_analytic,shuffle_95_band,acf_physically_relevant_shuffle
316,1.0012816584673808e-05,0.009134080456134,False,1.9521188414599734e-07,True
317,9.884451751727943e-06,0.009134080456134,False,2.0306206527544163e-07,True
318,9.901868224663961e-06,0.009134080456134,False,1.8458391943352753e-07,True
319,1.0069605539555134e-05,0.009134080456134,False,1.8518455005307372e-07,True
320,9.844635659160938e-06,0.009134080456134,False,1.906323440703525e-07,True
321,9.824177943969075e-06,0.009134080456134,False,2.0791908065752642e-07,True
322,9.929494658040509e-06,0.009134080456134,False,1.9568872310077916e-07,True
323,9.883085252064553e-06,0.009134080456134,False,2.0301676059180982e-07,True
324,9.908964882830729e-06,0.009134080456134,False,2.079473304855157e-07,True
325,1.002508827098601e-05,0.009134080456134,False,1.9582484197555982e-07,True
326,9.774464217428805e-06,0.009134080456134,False,2.0240226035406076e-07,True
327,9.93985712986368e-06,0.009134080456134,False,1.9352015364378088e-07,True
328,9.86606007289882e-06,0.009134080456134,False,2.1448167595477285e-07,True
329,9.820384878744551e-06,0.009134080456134,False,1.9058716161770557e-07,True
330,9.952517913544874e-06,0.009134080456134,False,1.9187833000875348e-07,True
331,9.901600539110101e-06,0.009134080456134,False,1.9863902651950704e-07,True
332,9.95917154890543e-06,0.009134080456134,False,1.8431103510108577e-07,True
333,9.816183500062048e-06,0.009134080456134,False,2.1140481714995438e-07,True
334,9.925541983163823e-06,0.009134080456134,False,2.004075131485238e-07,True
335,9.859686167387244e-06,0.009134080456134,False,2.246853772380244e-07,True
336,9.931890428205285e-06,0.009134080456134,False,2.0432081959964467e-07,True
337,1.0007634845196733e-05,0.009134080456134,False,1.719301440519332e-07,True
338,9.866724156975023e-06,0.009134080456134,False,1.9666408976944706e-07,True
339,9.81033661642752e-06,0.009134080456134,False,1.9934794356862947e-07,True
340,1.0036506960037104e-05,0.009134080456134,False,2.0326505539241051e-07,True
341,9.877446660762396e-06,0.009134080456134,False,2.0006455413563402e-07,True
342,9.824016272090803e-06,0.009134080456134,False,1.958044764654778e-07,True
343,9.83525405339508e-06,0.009134080456134,False,1.7467204861064416e-07,True
344,9.968960835613315e-06,0.009134080456134,False,1.8042889407607724e-07,True
345,9.920689175102228e-06,0.009134080456134,False,2.0628485611408248e-07,True
346,9.795412202160924e-06,0.009134080456134,False,1.9396692214265857e-07,True
347,9.86414451311561e-06,0.009134080456134,False,2.1689493473316004e-07,True
348,9.92858977762006e-06,0.009134080456134,False,1.9077281740930742e-07,True
349,9.9680010206928e-06,0.009134080456134,False,1.90619770544999e-07,True
350,9.887540692433926e-06,0.009134080456134,False,2.0762459589306127e-07,True
351,9.91724645970814e-06,0.009134080456134,False,1.8028598672120645e-07,True
352,9.988193607792906e-06,0.009134080456134,False,2.120604273257504e-07,True
353,9.922699280673853e-06,0.009134080456134,False,1.8986872972979622e-07,True
354,9.90208276640886e-06,0.009134080456134,False,1.9777310713300953e-07,True
355,9.717989913277133e-06,0.009134080456134,False,2.01052904370404e-07,True
356,9.737574467409218e-06,0.009134080456134,False,2.1323488985926896e-07,True
357,9.869540566147834e-06,0.009134080456134,False,2.0361436313700759e-07,True
358,9.769992924015905e-06,0.009134080456134,False,2.0781287090350835e-07,True
359,9.782085402671997e-06,0.009134080456134,False,2.039221493675601e-07,True
360,9.8848003024596e-06,0.009134080456134,False,2.2297991777018235e-07,True
361,9.899600110519144e-06,0.009134080456134,False,1.864487290752081e-07,True
362,9.985949555038855e-06,0.009134080456134,False,1.9456173118980605e-07,True
363,1.0022519085688712e-05,0.009134080456134,False,2.176592774013057e-07,True
364,9.889674440782856e-06,0.009134080456134,False,2.0688576689996762e-07,True
365,9.900916472284117e-06,0.009134080456134,False,2.14705117502888e-07,True
